ID,Reported_On,Additional_Reporting,Retrieve_from_1,Retrieve_from_2,Retrieve_from_3,Twitter_Reference,Direct_Post_1,Direct_Post_2,Direct_Post_3,Direct_Post_4,Title,Publication_Date,Entry_Date,Country,Primary_Language,Secondary_Language,Main_Narrative,Narrative_Description,ChainMsg_or_Email,Motive,Motive_Description,Source,Source_Description,Distrib_Channel,Misinfo_Type,Key_Words,Summary,Coder
350,https://correctiv.org/faktencheck/2020/03/27/video-einer-frau-in-italien-schuert-panik-mit-ueberspitzten-behauptungen-ueber-das-coronavirus,,http://archive.is/AZB4r,,,0,,,,,Video einer Frau in Italien schürt Panik mit überspitzten Behauptungen über das Coronavirus,27-Mar-20,14-Apr-20,Germany,German,,Nature of the virus,"Advice spread that when coming indoors, you should take your clothes off outside and immediately wash them to prevent bringing the coronavirus in",1,Fear,"Overexaggeration of methods needed to stay safe, exaggerates properties of the virus",Individual actor,German woman in Italy,"Whatsapp, Facebook",False reporting,"Coronavirus, Germany, Italy, disinfectant, clothing",Woman in Italy claims to be giving tips to the German population to wash all clothing immediately if outdoors because coronavirus can spread through wind and can stay on surfaces for 9 hours,Audrey
351,"https://www.br.de/nachrichten/netzwelt/coronavirus-fakes-und-faktenchecks,Ros6PIg",,,,,0,,,,,Intervallfasten gegen Coronaviren? Ein “Ammenmärchen!”,27-Mar-20,24-Apr-20,Germany,German,,False cures and preventative measures,Claims spread that intermittent fasting can clear the coronavirus from your body,1,False Hope,Make it seem easier to cure the coronavirus than it actually is,Individual actor,General public,Whatsapp,Fake remedy,"Coronavirus, Germany, fasting, Whatsapp","Whatsapp chain letter circulated, which says that if you have coronavirus you can fast at intervals and that will clear the virus ",Audrey
352,https://www.open.online/2020/03/27/coronavirus-la-falsa-sintesi-della-johns-hopkins-university-che-circola-su-whatsapp/,,https://www.open.online/2020/03/27/coronavirus-la-falsa-sintesi-della-johns-hopkins-university-che-circola-su-whatsapp/,,,0,,,,,Coronavirus. La falsa sintesi della Johns Hopkins University che circola su Whatsapp,27-Mar-20,1-Apr-20,Italy,Italian,,Nature of the virus,A message was spread on WhatsApp saying that John Hopkins University found out tha the virus is in truth  DNA and not RNA,1,Other,"A message saying that John Hopkins found out that the virus is not RNA but DNA, maybe to create confusion among people",Individual actor,General public,WhatsApp,False reporting,"Coronavirus, John Hopkins University, RNA","A message was spread on WhatsApp saying that John Hopkins discovered that the virus is not RNA but rather DNA, maybe to create confusion among people. ",Luca
353,https://www.kwongwah.com.my/20200327/%E3%80%90%E8%A1%8C%E7%AE%A1%E7%AC%AC10%E5%A4%A9%E3%80%91-%E6%95%A3%E6%92%AD%E6%96%B0%E5%86%A0%E7%97%85%E6%AF%92%E5%81%87%E6%B6%88%E6%81%AF-%E7%94%B7%E5%AD%90%E8%A2%AB%E7%BD%9A2%E5%8D%83/,,https://www.kwongwah.com.my/20200327/%E3%80%90%E8%A1%8C%E7%AE%A1%E7%AC%AC10%E5%A4%A9%E3%80%91-%E6%95%A3%E6%92%AD%E6%96%B0%E5%86%A0%E7%97%85%E6%AF%92%E5%81%87%E6%B6%88%E6%81%AF-%E7%94%B7%E5%AD%90%E8%A2%AB%E7%BD%9A2%E5%8D%83/,,,0,,,,,????10?? ????????? ????2?,27-Mar-20,4-Apr-20,China,Mandarin,,Other,A man who spread false information on Coronavirus was trialed and fined 2000 rmb. ,0,Fear,Spread claim that father was not willing to get tested for the Coronavirus,Individual actor ,Arias ,WhatsApp,False reporting,"Coronavirus, Fine, China, Ttham Radio",Self employed man reports that his father does not want to get tested for Coronavirus after returning from mission trip,Anne
354,https://maldita.es/malditobulo/2020/03/27/leones-leon-rusia-libera-coronavirus-calle/,,https://maldita.es/malditobulo/2020/03/27/leones-leon-rusia-libera-coronavirus-calle/,,,0,,,,,"No, Putin no ha liberado a 700 leones para mantener a la gente en sus casas por el coronavirus: es una imagen de 2016 en Sudáfrica",27-Mar-20,27-Mar-20,Ambiguous,Spanish,English,Emergency responses,A photo showing lions in the street and the post claiming that Putin unleashed them to keep people in their houses,0,Undermine target country institutions,The goal is to discredit the Russian government accusing it to do an absurd policy against its citizens,Individual actor,General public,Social Media ,False reporting,"Coronavirus, Putin, gobierno ruso, leones","A photo circulated on social media showing lions in the streets and saying these were unleashed by Putin to keep people in their houses. However, the photo was real and was taken in 2016 in Johannesburg, South Africa. ",Luca
355,https://maldita.es/malditobulo/2020/03/27/pruebas-nuevo-brote-coronavirus-creado-laboratorios-video/,,,,,1,https://www.youtube.com/watch,https://mobile.twitter.com/RubyDemestoy/status/1242640189383729154,,,Ni hay pruebas de que el brote del nuevo coronavirus haya sido creado en un laboratorio ni los coronavirus en humanos son recientes,27-Mar-20,27-Mar-20,Spain,Spanish,,Weaponization or design,A video in which a girl affirms that the virus was patented by the Pirbright Institute in 2014 (linked to the Gates Foundation),0,Undermine target country institutions,The goal is to discredit the Gates Foundation in the United States,Individual actor ,"General public (@RubyDemestoy on Twitter)
","Twitter, Youtube",Conspiracy,"Coronavirus, Pirbright Insitute, laboratorios, bioinformatica",A video in which a girl affirms that the virus was patented in 2014 by the Pirbright Institute (linked to the Gates Foundation) and claiming that the outbreak was a planned biological attack. ,Luca
356,https://user.guancha.cn/main/content?id=273449&s=fwtjgzwz,,,,,0,,,,,????????????????????,28-Mar-20,5-Apr-20,China,Mandarin,,Origin of the virus,NIH blog claims the source of the virus is nature,0,Undermine target country institutions ,Spread false claims of the source of the virus,Individual actor,Francis Collins Blogger,Blog,Conspiracy,"Coronavirus, Francis Collins, Nature, NIH Director, Genomic study",NIH Director publishes blog post that claims genomic study points to the natural origin of the virus,Anne
357,https://www.abante.com.ph/mayor-online-vlogger-kinasuhan-sa-pekeng-covid-19-result.htm,,,,,0,,,,,"Mayor, online vlogger kinasuhan sa pekeng Covid-19 result",28-Mar-20,29-Mar-20,Philippines,Tagalog,,COVID-19 status of individuals,"Mayor of a town in Cavite, PH associated with spreading false information about COVID-19 related patients and deaths.",0,Fear,"Mayor and ""vloggers"" spreading misinformation about patients and deaths for the sake of it.",Individual actor,Noveleta Mayor Dino Reyes Chua,"Facebook, Youtube",False reporting,"Coronavirus, Noveleta Mayor Dino Reyes Chua, Philippines", Noveleta Mayor Dino Reyes Chua and vloggers under fire for purposely spreading false reports of COVID-19 related patients and deaths in their town.,Jan
358,https://twitter.com/WorldVivid/status/1244120170962071552,,,,,1,https://twitter.com/WorldVivid/status/1244120170962071552,,,,"According to Prof. Robert Garry from Tulane University, “Wuhan wasn’t the origin of the virus”.",29-Mar-20,5-Apr-20,US,English,,Nature of the virus,Twitter user claims Professor Robert Garry from Tulane University said Wuhan wasn't the origin of the virus,0,Fear,Spread false claim that Wuhan wasn't the origin of the virus,Individual actor,Twitter user,Twitter,Conspiracy,"Coronavirus, Tulane University, Wuhan, origin, Professor",Twitter user claims Professor Robert Garry from Tulane University said Wuhan wasn't the origin of the virus,Anne
359,https://euvsdisinfo.eu/report/380-belgians-caught-covid-19-through-a-massive-act-of-group-sex/,,,,,0,http://zavtra.ru/blogs/380_chelovek_zarazilis_covid-19_v_bel_gii_vo_vremya_massovogo_gruppovogo_seksa,,,,DISINFO: 380 BELGIANS CAUGHT COVID-19 THROUGH A MASSIVE ACT OF GROUP SEX,29-Mar-20,7-Apr-20,Russia,Russian,Georgian,Other,False news spread about 380 Belgians supposedly catching the coronavirus through group sex,0,Politics,Garner negative public opinion towards Belgium,Media,Newspaper Zavtra,Online news website,False reporting,"Coronavirus, Belgium, Russia",Russian extreme right newspaper unironically republishes formerly debunked claims that hundreds of Belgians caught the coronavirus through massive orgy,Audrey
